序号,标题,作者,地区,发布时间,点赞,收藏,评论数,分享,关键词,链接
21,大学生兼职不应该去打工，而是做更有意义的实习。#大学兼职[话题]# #实习[话题]# #经济独立[话题]# #反转[话题]#,小小小小黄,,2026-02-14 18:15,1.7万,553,1661,7673,编程兼职,https://www.xiaohongshu.com/explore/69904b45000000001a02aa2f?xsec_token=AB6zDHB-O_h0tuWOk7hHiOfkz9gfVpStI2tzVChRRPNnc=&xsec_source=pc_search
22,实习还是不要去太小的公司,哈基米,,2026-03-04 16:31,1.2万,2824,2224,1956,编程兼职,https://www.xiaohongshu.com/explore/69a7edd1000000000e00e784?xsec_token=ABR2ARdCdRrWNVdwm6ur-ubkrKBP60GjF43u-1n7Um9J8=&xsec_source=pc_search
23,AI三小时做的小游戏，作者：9天赚12万！,齐鲁壹点.果然视频,,2025-03-04 08:52,8987,3567,450,6456,编程兼职,https://www.xiaohongshu.com/explore/67c64ecb0000000029031727?xsec_token=ABlKkSaTTdGwB9fH-lA4obwEy1tvnKX05ziOA2b0B6RSw=&xsec_source=pc_search
24,教程来了！价格500的Ai单子是怎样做的？,火光AI,,2024-10-28 14:04,7711,6492,254,1159,编程兼职,https://www.xiaohongshu.com/explore/671f297d000000001600c2d3?xsec_token=ABp6GaS4fGmXkFbx6TWvyA_BVNy4fSK2iQhZNXZ6nI44Y=&xsec_source=pc_search
25,应届生就是猛,JACH,广东,2026-05-13 12:53,6865,717,1673,6538,编程兼职,https://www.xiaohongshu.com/explore/6a0403d500000000350383e9?xsec_token=ABXNIt04uAhrMca1-TCLgDRyngo23Nc-wUcwUt8AL4YX4=&xsec_source=pc_search
26,这一切计算机专业学生都懂吧,胶体菠萝🍍,,2025-06-30 00:00,4840,649,488,626,编程兼职,https://www.xiaohongshu.com/explore/68598c91000000002203f6ae?xsec_token=ABm_5rne0wUl44aJUFiglV3_GDUiSoF4lzJp-uXW_8Jb0=&xsec_source=pc_search
27,双非本校招年薪45w 知无不言,可瑞吉crazy,,2025-07-05 22:58,2788,969,822,1032,编程兼职,https://www.xiaohongshu.com/explore/68693d8c000000002203e6b7?xsec_token=ABZro4NQUx4mmkdadSR881AkGnL6zisbPdHXHT_SIoVBo=&xsec_source=pc_search
28,世界。草台班子。。又把咱大学生当啥整了。。,叫我羊同学,,2025-12-28 18:19,2653,364,130,270,编程兼职,https://www.xiaohongshu.com/explore/69510447000000001e0053d6?xsec_token=ABdhaYOysjnB-P_6QY9UyYcm7U5Ci8yeDo4urcQ1EMyMU=&xsec_source=pc_search
29,我发现，法学生赚点生活费真的很简单‼️,小虎柴柴,,2025-06-06 19:49,2382,2723,102,224,编程兼职,https://www.xiaohongshu.com/explore/68415e6d000000002100d3ad?xsec_token=ABlwEP4lWAYgIjh8yC0fWyuE-VCXWvu_PpPwGQ2cJjw3Q=&xsec_source=pc_search
30,普通人都能做的搞钱思路,泡泡破烂,广西,2026-05-14 18:02,2280,934,7300,196,编程兼职,https://www.xiaohongshu.com/explore/6a059dc70000000007011f2c?xsec_token=ABqIklAQ-lXHll4ZR6l60wQa-LohSgCV1S6gxSX8FB0HQ=&xsec_source=pc_search
31,"大一计科女靠C语言赚到了人生的第一桶金
	
我把C语言教材挂闲鱼上卖了。。。
#c语言学习[话题]# #计算机专业[话题]# #编程[话题]# #计算机[话题]# #工科女[话题]# #程序员[话题]#",青山卤水,,2026-01-17 22:17,2230,149,400,1491,编程兼职,https://www.xiaohongshu.com/explore/696b99ec0000000022032a93?xsec_token=ABwEWTLlzwxUMKiC5DdmZOceDlNAiyltfYGt5e5qgOY5o=&xsec_source=pc_search
32,男生不上班，也能养家的6份,沙士比心,,2025-03-06 19:03,1916,1103,689,180,编程兼职,https://www.xiaohongshu.com/explore/67c98100000000002903ef6d?xsec_token=ABq6I6npMqxAfH9YYD8klceVqBULPzvdoESFo6_Zbr63I=&xsec_source=pc_search
